Token,Classificação,Linha
program,Palavra reservada,1
Test3,Identificador,1
;,Delimitador,1
var,Palavra reservada,2
NUMERO,Identificador,2
:,Delimitador,2
integer,Palavra reservada,2
;,Delimitador,2
var,Palavra reservada,3
Test3,Identificador,3
:,Delimitador,3
integer,Palavra reservada,3
;,Delimitador,3
begin,Palavra reservada,4
NUMERO,Identificador,5
:=,Atribuição,5
-,Operador aditivo,5
3,Número inteiro,5
*,Operador multiplicativo,5
5,Número inteiro,5
+,Operador aditivo,5
7,Número inteiro,5
-,Operador aditivo,5
9,Número inteiro,5
;,Delimitador,5
if,Palavra reservada,6
(,Delimitador,6
NUMERO,Identificador,6
>=,Operador relacional,6
20,Número inteiro,6
),Delimitador,6
and,Operador multiplicativo,6
(,Delimitador,6
NUMERO,Identificador,6
<=,Operador relacional,6
90,Número inteiro,6
),Delimitador,6
then,Palavra reservada,6
NUMERO,Identificador,7
:=,Atribuição,7
10,Número inteiro,7
*,Operador multiplicativo,7
3,Número inteiro,7
else,Palavra reservada,8
NUMERO,Identificador,8
:=,Atribuição,8
10,Número inteiro,8
/,Operador multiplicativo,8
3,Número inteiro,8
end,Palavra reservada,9
.,Delimitador,9
